City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
546,Moroni,KM,78.89,light rain,-11.7022,43.2551,Hotel les Arcades
550,Baturaja,ID,74.26,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
557,Ojinaga,MX,81.41,clear sky,29.5667,-104.4167,Suites Las Palmas
561,Bandundu,CD,73.18,light rain,-3.3167,17.3667,Coja Color
562,Eydhafushi,MV,82.83,scattered clouds,5.1033,73.0708,Soneva Fushi
564,Chirongui,YT,80.53,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
565,Gulabpura,IN,81.86,clear sky,25.9,74.6667,Hotel N chandra
566,Zhangye,CN,71.87,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
569,Porto De Moz,BR,77.0,overcast clouds,-1.7483,-52.2383,Dormitório labelle
572,Bryan,US,75.22,overcast clouds,30.6744,-96.37,Best Western Premier Bryan College Station
573,Neiafu,TO,80.67,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
577,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
582,Sibolga,ID,77.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
584,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
587,Lakatoro,VU,82.99,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
588,Godda,IN,80.24,few clouds,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
599,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
600,Mujiayingzi,CN,74.86,overcast clouds,42.1167,118.7833,Jinjiang Hotel
601,Dingle,PH,82.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
602,Santa Cruz,BO,71.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
606,White Center,US,74.14,clear sky,47.5173,-122.3549,Georgetown Inn
610,Barabai,ID,77.9,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
613,Keningau,MY,74.8,overcast clouds,5.3378,116.1602,Sabindo Hotel
614,Pundaguitan,PH,82.26,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
616,Maumere,ID,81.82,broken clouds,-8.6199,122.2111,Sylvia Hotel
621,Rio Branco,BR,77.61,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
625,Tautira,PF,79.65,light rain,-17.7333,-149.15,Pension Oaoa
