City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,Primo Tapia,32.22,-116.9172,70.95,62,0,11.25,MX,2022-05-22 21:50:28
226,Roebourne,-20.7833,117.1333,77.27,75,99,4.92,AU,2022-05-22 21:50:28
227,Mezen,65.8522,44.24,28.47,80,95,13.53,RU,2022-05-22 21:50:29
228,Tutoia,-2.7619,-42.2744,77.49,85,79,3.89,BR,2022-05-22 21:50:30
229,Khuldabad,20.05,75.1833,74.17,70,0,18.28,IN,2022-05-22 21:50:30
230,Grindavik,63.8424,-22.4338,51.75,76,0,13.8,IS,2022-05-22 21:50:30
231,Mansehra,34.3333,73.2,60.76,69,95,8.05,PK,2022-05-22 21:50:31
232,Grand-Santi,4.25,-54.3833,73.71,97,86,1.48,GF,2022-05-22 21:50:31
233,Genhe,50.7833,121.5167,49.28,69,88,1.16,CN,2022-05-22 21:50:31
234,Ndele,8.4109,20.6473,79.41,55,99,3.98,CF,2022-05-22 21:50:32
235,Slave Lake,55.2834,-114.769,55.38,44,0,11.5,CA,2022-05-22 21:46:56
236,Kaset Sombun,16.2805,101.9542,74.93,89,98,4.14,TH,2022-05-22 21:50:34
237,Panjab,34.388,67.0233,40.35,54,3,5.68,AF,2022-05-22 21:50:35
238,Hibbing,47.4272,-92.9377,59.4,26,100,8.05,US,2022-05-22 21:50:35
239,Luwuk,-0.9516,122.7875,76.48,85,93,4.43,ID,2022-05-22 21:41:19
240,Manavgat,36.7867,31.4431,65.5,74,8,6.73,TR,2022-05-22 21:50:37
241,Altay,47.8667,88.1167,63.57,29,78,5.5,CN,2022-05-22 21:50:37
242,Lembeni,-3.7833,37.6167,63.07,81,72,3.71,TZ,2022-05-22 21:50:38
243,Dombarovskiy,50.7587,59.5386,52.52,88,100,21.12,RU,2022-05-22 21:50:38
244,Bonoua,5.2741,-3.595,76.62,92,100,2.66,CI,2022-05-22 21:50:39
245,Bethel,41.3712,-73.414,91.35,54,0,9.22,US,2022-05-22 21:46:17
246,Treinta Y Tres,-33.2333,-54.3833,53.92,78,12,6.11,UY,2022-05-22 21:50:40
247,Chake Chake,-5.2459,39.7666,76.59,81,98,10.18,TZ,2022-05-22 21:50:41
248,Vanimo,-2.6741,141.3028,80.01,83,91,4.74,PG,2022-05-22 21:50:42
249,Mana,5.6592,-53.7767,76.93,86,98,4.41,GF,2022-05-22 21:50:43
250,Katangli,51.7102,143.2326,35.24,85,100,7.38,RU,2022-05-22 21:50:44
251,Inirida,3.8653,-67.9239,79.07,86,67,1.32,CO,2022-05-22 21:50:45
252,Clyde River,70.4692,-68.5914,19.63,93,100,27.63,CA,2022-05-22 21:49:52
253,Puerto Escondido,15.85,-97.0667,86.83,70,0,10.36,MX,2022-05-22 21:50:47
254,Edelira,-26.75,-55.2667,57.04,77,99,2.04,PY,2022-05-22 21:50:48
255,Narrabri,-30.3167,149.7833,53.53,85,100,3.0,AU,2022-05-22 21:50:48
256,Valkeala,60.9401,26.7979,50.4,50,0,1.14,FI,2022-05-22 21:50:49
257,Cidreira,-30.1811,-50.2056,59.81,74,99,5.37,BR,2022-05-22 21:50:50
258,Saint-Francois,46.4154,3.9054,74.64,57,0,13.8,FR,2022-05-22 21:50:51
259,Esperance,-33.8667,121.9,61.09,84,8,11.32,AU,2022-05-22 21:50:51
260,Carballo,43.213,-8.691,58.87,94,55,2.77,ES,2022-05-22 21:50:52
261,Okhotsk,59.3833,143.3,36.0,97,100,8.75,RU,2022-05-22 21:50:52
262,Aktash,50.3,87.7333,44.02,76,62,2.68,RU,2022-05-22 21:50:53
263,Lata,40.1629,-8.3327,65.07,90,82,4.07,PT,2022-05-22 21:50:54
264,Navrongo,10.8956,-1.0921,83.39,58,84,7.81,GH,2022-05-22 21:50:54
265,Chokurdakh,70.6333,147.9167,32.56,99,100,2.17,RU,2022-05-22 21:50:54
266,La Asuncion,11.0333,-63.8628,85.73,62,68,20.71,VE,2022-05-22 21:50:55
267,Kamaishi,39.2667,141.8833,56.89,81,100,5.48,JP,2022-05-22 21:50:55
268,Nanakuli,21.3906,-158.1547,84.15,54,100,13.8,US,2022-05-22 21:50:55
269,Luanda,-8.8368,13.2343,73.4,83,20,6.91,AO,2022-05-22 21:47:29
270,Husavik,66.0449,-17.3389,37.83,94,100,8.59,IS,2022-05-22 21:50:56
271,Wasilla,61.5814,-149.4394,68.67,22,0,5.75,US,2022-05-22 21:48:02
272,Olkhovka,53.2115,60.6069,42.73,85,68,11.34,RU,2022-05-22 21:50:58
273,Pathein,16.7833,94.7333,79.38,87,83,7.63,MM,2022-05-22 21:50:58
274,Antalaha,-14.9003,50.2788,71.67,82,21,6.46,MG,2022-05-22 21:48:32
275,Gurlan,41.8447,60.3919,60.71,44,0,9.98,UZ,2022-05-22 21:50:58
276,High Level,58.5169,-117.136,51.91,43,75,0.0,CA,2022-05-22 21:50:59
277,Isangel,-19.55,169.2667,77.11,94,40,0.0,VU,2022-05-22 21:50:59
278,Embonas,36.2269,27.8564,62.73,83,1,10.09,GR,2022-05-22 21:50:59
279,Dalvik,65.9702,-18.5286,39.13,95,100,5.7,IS,2022-05-22 21:51:00
280,Nizwa,22.9333,57.5333,84.56,26,0,3.91,OM,2022-05-22 21:51:01
281,Loreto,22.2667,-101.9667,86.41,10,1,3.67,MX,2022-05-22 21:49:38
282,Vershino-Darasunskiy,52.35,115.5167,45.52,70,32,3.62,RU,2022-05-22 21:51:03
283,Kalininsk,51.5,44.4758,44.26,94,100,5.61,RU,2022-05-22 21:51:09
284,Zhezkazgan,47.8043,67.7144,49.08,31,1,9.17,KZ,2022-05-22 21:51:09
285,Airai,-8.9266,125.4092,58.91,91,50,3.67,TL,2022-05-22 21:51:10
286,Montepuez,-13.1256,38.9997,64.06,98,26,2.24,MZ,2022-05-22 21:51:11
287,Kingaroy,-26.5333,151.8333,57.24,94,100,9.22,AU,2022-05-22 21:51:12
288,Cockburn Town,21.4612,-71.1419,82.36,69,40,17.27,TC,2022-05-22 21:50:50
289,Nome,64.5011,-165.4064,66.27,21,0,14.97,US,2022-05-22 21:41:30
290,Cabo San Lucas,22.8909,-109.9124,85.6,64,2,11.48,MX,2022-05-22 21:47:34
291,Bengkulu,-3.8004,102.2655,75.51,89,38,3.13,ID,2022-05-22 21:51:13
292,Comodoro Rivadavia,-45.8667,-67.5,46.26,49,0,4.61,AR,2022-05-22 21:51:14
293,Barpeta,26.3167,91.0,74.46,92,91,4.38,IN,2022-05-22 21:51:14
